Neighborhood_Tabulation_Area_Code__NTA_Code_,Neighborhood_Tabulation_Area_Name__NTA_NAME_,Borough_Name,Total_Population,Population_Density__per_Sq__Mi__,Total_Number_of_Households,Area__Sq__Mi__,Street_Mileage,Home_Broadband_Adoption__Percentage_of_Households_,"Home_Broadband_Adoption_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Mobile_Broadband_Adoption__Percentage_of_Households_,"Mobile_broadband_adoption_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Mobile_Dependent_Households__Percentage_of_Households_,"Mobile_Dependent_Households_Categorized_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Residential_Broadband_Choice_Average_by_NTA,"Residential_Broadband_Choice_Average_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Commercial_Fiber_ISP_Choice_Average_by_NTA,"Commercial_Fiber_Choice_Average_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Commercial_Fiber_Max_ISP_Choice_by_NTA,"Commercial_Fiber_Max_ISP_Choice_by_Quartiles__High,_Medium-High,_Medium-Low,_Low_",Percentage_of_Blocks_without_a_Commercial_Fiber_Provider,Percentage_of_Blocks_without_a_Commercial_Fiber_Provider_by_Quartiles,Percentage_of_Blocks_with_ISP_Reported_Speed_Availability_of_>=25_Mbps__Broadband_Speed_,Percentage_of_Blocks_with_ISP_Reported_Speed_Availability_of_>=900_Mbps,Number_of_Public_Computer_Centers_with_free_public_Wi-Fi,Public_Wi-Fi_in_NYC_Count,Number_of_Free_Public_Wi-Fi_Access_Points_in_a_Pedestrian_Corridor,Available_Free_Public_Wi-Fi_in_a_Pedestrian_Corridor__Y/N_,Estimated_Number_of_Businesses,Number_of_Households,Total_Accounts,Account_Density,Account_Density_Quartile,Population_Projections_2050,Households_Receiving_Benefits,Estimated_Lifeline_Eligible_Households,Supportive_Housing__NYCDHS_,Low-Income_Housing__NYCHA_,Presence_of_IBZs,Number_of_NYCHA_Buildings,Number_of_Public_Schools,Number_of_DCAS_Buildings,Number_of_NYC_H+H_Buildings,City_Buildings_with_High_Rooftops__7+_Floors__Capacity_by_Quartile,Street_Furniture:_FDNY_Call_Boxes,Street_Furniture:_Parking_Pay_Stations,Street_Furniture:_Bus_Stop_Shelters,Street_Furniture:_Bike_Shelters,Street_Furniture:_City_Benches,LinkNYC_Kiosks,WalkNYC_Sign_Locations,Poles_Reserved_by_Mobile_Telecom_Franchisee,Pole_with_Equipment_Installed_by_Mobile_Telecom_Franchise,Density_of_Poles_Reserved_and_with_Equipment_Installed_for_Mobile_Telecom_Franchise,Mobile_Telecom_Franchise_Pole_Density_Level_by_Quartile,Empire_City_Subway_Coverage__Percentage_,Percentage_of_Households_with_fewer_than_3_broadband_options_available,Number_of_Fixed_Wireless_Providers_Available,Estimated_Aerial_Plant_Coverage__Percentage_,Estimated_Underground_Plant_Coverage__Percentage_,Geographic_Variations_in_Fiber_Delivery_Modes_by_NTA,Estimated_Underground_Utility_Conflict_Volume,Utility_Pole_Make_Ready_Estimated_Required_Number_of_Moves,Utility_Pole_Make-Ready_-_Estimated_Relative_Volume,NYC_Internet_Master_Plan_Open_Access_Infrastructure_Cost_Comparison_Coefficient,NYC_Internet_Master_Plan_Open_Access_Infrastructure_Cost_Comparison_Coefficient_by_Quartile,"Fiber_Drops,_Estimated_Relative_Costs","Indoor_Cabling_for_Multiple_Dwelling_Units,_Estimated__Relative_Costs","Optimal_for_Unlicensed
Millimeter_Wave_Fixed_Wireless_Access_as_a_Residential
Broadband_Solution","Percentage_Optimal_for_Unlicensed
Millimeter_Wave_Fixed_Wireless_Access_as_a_Residential
Broadband_Solution",Estimated_number_of_radio_sites_for_CBRS_coverage,Estimated_number_of_radio_sites_for_mmWave_coverage_in_optimal_areas,Sample_of_NTA_Field_Surveyed?__Y/N_,Reviewed_for_Underground_Fiber-to-the-Premise?__Y/N_,Reviewed_for_Aerial_Fiber-to-the-Premise?__Y/N_,Reviewed_for_Millimeter_Wave_Fixed_Wireless_Access?__Y/N_,Field_Survey_Findings,Percentage_of_Blocks_WITH_Commercial_Fiber_Provider,Size_of_Population_Growth_by_2030,2030_Population_Density,Pole_Rich,Pop_Growth_Rate
BX44,Williamsbridge-Olinville,Bronx,65043,49992.26,21796,1.3,41,0.63,Low,0.68,Medium Low,0.05,Medium High,2.0,Medium Low,1.7,Medium-High,3,Medium High,0.01,Low,1.0,0.96,2,3,0,False,831.0,21796.0,22627.0,552.0,Medium High,65769.0,1606.0,4771.0,0.0,733.0,False,5.0,15.0,13.0,0.0,Medium High,110.0,55.0,13.0,0.0,1.0,0.0,1,5.0,32.0,0.9,Medium High,0.32,1.0,0.0,1.0,0.18,Above and Underground Network,Average,4.0,Average,0.24,Low,Average,Average,YES,0.34,47.0,34.0,NO,NO,NO,NO,NONE,0.99,726.0,50591.53846153846,Poles Reserved Below Average,Unknown
BX46,Parkchester,Bronx,30826,93572.03,12747,0.33,13,0.73,Medium High,0.69,Medium Low,0.05,Medium High,1.8,Low,1.4,Medium-High,3,Medium High,0.24,High,1.0,0.75,2,1,0,False,1075.0,12747.0,13822.0,1063.0,High,31601.0,521.0,1711.0,0.0,0.0,False,0.0,4.0,0.0,0.0,Low,33.0,75.0,16.0,0.0,2.0,0.0,1,3.0,12.0,1.15,High,0.31,1.0,0.0,1.0,0.98,Above and Underground Network,High,4.5,High,0.14,Low,High,Low,YES,0.42,46.0,46.0,NO,NO,NO,NO,NONE,0.76,775.0,95760.60606060605,Poles Reserved Below Average,Unknown
BX49,Pelham Parkway,Bronx,29947,36251.9,11337,0.83,33,0.64,Medium Low,0.71,Medium High,0.09,High,1.8,Low,1.6,Medium-High,3,Medium High,0.12,Medium High,1.0,0.81,2,1,0,False,1175.0,11337.0,12512.0,379.0,Medium Low,32957.0,260.0,1559.0,0.0,0.0,False,0.0,7.0,1.0,2.0,Medium Low,24.0,76.0,29.0,0.0,1.0,0.0,0,8.0,27.0,1.06,Medium High,0.13,1.0,0.0,1.0,0.4,Above and Underground Network,Average,4.0,Average,0.13,Low,Average,Average,YES,0.45,40.0,29.0,NO,NO,NO,NO,NONE,0.88,3010.0,39707.22891566265,Poles Reserved Below Average,Low Growth
BX52,Schuylerville-Throgs Neck-Edgewater Park,Bronx,47580,14999.22,16436,3.17,95,0.69,Medium Low,0.69,Medium Low,0.07,High,1.8,Low,1.3,Medium-Low,4,High,0.23,High,0.98,0.74,4,10,0,False,643.0,16436.0,17079.0,180.0,Low,44586.0,487.0,1839.0,0.0,1724.0,False,4.0,16.0,25.0,0.0,Low,104.0,91.0,16.0,0.0,9.0,0.0,0,0.0,62.0,0.65,Medium High,0.12,1.0,0.0,0.94,0.0,Above and Underground Network,Low,3.0,Low,0.18,Low,Low,High,YES,0.04,45.0,25.0,NO,NO,NO,NO,NONE,0.77,-2994.0,14064.984227129338,Poles Reserved Below Average,Low Growth
BX55,Soundview-Bruckner,Bronx,37866,64952.98,11738,0.58,22,0.58,Low,0.68,Medium Low,0.06,High,1.8,Low,1.6,Medium-High,3,Medium High,0.1,Medium Low,1.0,0.78,0,0,0,False,592.0,11738.0,12330.0,560.0,Medium High,39222.0,1131.0,3964.0,149.0,1675.0,False,4.0,7.0,3.0,0.0,Low,56.0,27.0,5.0,0.0,3.0,0.0,1,6.0,23.0,1.32,High,0.34,1.0,0.0,1.0,0.96,Above and Underground Network,Average,4.5,High,0.13,Low,Average,Average,YES,0.59,29.0,26.0,NO,NO,NO,NO,NONE,0.9,1356.0,67624.1379310345,Poles Reserved Below Average,Unknown
BX59,Westchester-Unionport,Bronx,28437,33109.9,9225,0.86,36,0.67,Medium Low,0.7,Medium Low,0.04,Medium Low,1.8,Low,1.6,Medium-High,4,High,0.13,Medium High,1.0,0.78,1,1,0,False,896.0,9225.0,10121.0,281.0,Medium Low,31621.0,707.0,2166.0,0.0,132.0,True,1.0,2.0,15.0,0.0,Low,56.0,52.0,12.0,0.0,2.0,0.0,0,6.0,22.0,0.78,Medium High,0.2,1.0,0.0,1.0,0.39,Above and Underground Network,Average,4.0,Average,0.11,Low,Average,Average,YES,0.34,52.0,0.0,NO,NO,NO,NO,NONE,0.87,3184.0,36768.604651162794,Poles Reserved Below Average,Low Growth
BX62,Woodlawn-Wakefield,Bronx,44064,30914.49,14944,1.43,45,0.66,Medium Low,0.67,Low,0.08,High,2.0,Medium High,1.4,Medium-High,3,Medium High,0.09,Medium Low,1.0,0.91,2,3,0,False,513.0,14944.0,15457.0,343.0,Medium Low,46033.0,881.0,2140.0,60.0,0.0,False,0.0,5.0,5.0,0.0,Low,114.0,49.0,11.0,0.0,1.0,0.0,0,1.0,35.0,0.8,Medium High,0.19,0.97,1.0,0.99,0.0,Above and Underground Network,Average,4.0,Average,0.16,Low,Average,Average,YES,0.14,40.0,0.0,YES,YES,YES,YES,"Average underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 36% required make-ready, and 0% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had telecom service drops crossing the roadway without proper clearance. 
Area suitable for fixed wireless.",0.91,1969.0,32190.909090909092,Poles Reserved Below Average,Low Growth
BX63,West Concourse,Bronx,37395,53777.07,13185,0.7,34,0.59,Low,0.69,Medium Low,0.09,High,1.5,Low,2.1,High,4,High,0.06,Medium Low,0.91,0.22,1,40,20,True,816.0,13185.0,14001.0,412.0,Medium Low,56175.0,1140.0,4435.0,180.0,0.0,False,0.0,10.0,3.0,1.0,Medium High,59.0,61.0,8.0,0.0,6.0,20.0,19,18.0,35.0,1.56,High,0.19,0.98,2.0,0.69,0.91,Above and Underground Network,Average,4.0,Average,0.15,Low,Average,Average,YES,0.73,67.0,44.0,NO,NO,NO,NO,NONE,0.94,18780.0,80250.0,Poles Reserved Above Average,High Growth
BX75,Crotona Park East,Bronx,21745,37148.33,7806,0.59,25,0.57,Low,0.69,Medium Low,0.04,Medium Low,1.6,Low,1.5,Medium-High,3,Medium High,0.28,High,1.0,0.64,1,0,0,False,579.0,7806.0,8385.0,335.0,Medium Low,33488.0,723.0,2566.0,46.0,513.0,False,1.0,16.0,0.0,0.0,Medium High,48.0,0.0,10.0,0.0,13.0,0.0,0,2.0,15.0,0.68,Medium High,0.17,1.0,0.0,1.0,0.87,Above and Underground Network,Average,4.0,Average,0.09,Low,Average,Average,YES,0.92,64.0,15.0,NO,NO,NO,NO,NONE,0.72,11743.0,56759.32203389831,Poles Reserved Below Average,Unknown
MN01,Marble Hill-Inwood,Manhattan,52681,82827.05,19616,0.64,20,0.63,Low,0.7,Medium Low,0.13,High,2.5,Medium High,2.2,High,4,High,0.0,Low,1.0,0.97,2,2,0,False,729.0,19616.0,20345.0,1017.0,High,52432.0,631.0,4485.0,0.0,4531.0,False,8.0,19.0,4.0,0.0,High,44.0,55.0,17.0,0.0,11.0,0.0,7,3.0,20.0,1.15,High,0.43,0.97,2.0,0.43,0.87,Above and Underground Network,High,4.5,High,0.21,Low,High,Low,YES,0.46,159.0,51.0,YES,YES,NO,NO,Average underground interference from existing utilities.,1.0,-249.0,81925.0,Poles Reserved Below Average,Unknown
MN03,Central Harlem North-Polo Grounds,Manhattan,85872,94243.43,34519,0.91,43,0.63,Low,0.67,Low,0.06,High,2.5,High,2.3,High,4,High,0.0,Low,1.0,0.99,10,101,93,True,415.0,36145.0,36560.0,850.0,High,78790.0,2502.0,6641.0,148.0,9494.0,False,27.0,26.0,7.0,3.0,High,85.0,48.0,44.0,0.0,23.0,36.0,2,13.0,40.0,1.23,High,0.36,0.97,2.0,0.07,0.97,Above and Underground Network,High,4.5,High,0.38,Medium Low,High,Low,YES,0.39,55.0,13.0,YES,YES,NO,NO,High underground interference from existing utilities.,1.0,-7082.0,86582.41758241758,Poles Reserved Above Average,Unknown
MN04,Hamilton Heights,Manhattan,52508,90948.73,19521,0.58,26,0.71,Medium High,0.76,High,0.06,High,2.3,Medium High,2.1,High,4,High,0.0,Low,1.0,0.85,2,63,52,True,723.0,19521.0,20244.0,779.0,High,49470.0,748.0,3191.0,328.0,168.0,False,1.0,4.0,1.0,0.0,Medium Low,60.0,43.0,18.0,0.0,14.0,52.0,3,11.0,49.0,2.31,High,0.37,0.88,2.0,0.0,0.89,Underground Network Areas,High,4.5,High,0.21,Low,High,Low,YES,0.43,139.0,4.0,NO,NO,NO,NO,NONE,1.0,-3038.0,85293.10344827587,Poles Reserved Above Average,Unknown
MN06,Manhattanville,Manhattan,23666,61970.82,10054,0.38,17,0.64,Medium Low,0.64,Low,0.06,High,2.1,Medium High,1.9,High,3,Medium High,0.0,Low,1.0,0.81,1,19,15,True,931.0,8428.0,9359.0,551.0,Medium High,23306.0,380.0,2202.0,27.0,1369.0,False,4.0,14.0,3.0,0.0,Medium Low,49.0,9.0,17.0,0.0,2.0,14.0,2,3.0,12.0,0.88,Medium High,0.28,0.86,2.0,0.0,0.92,Underground Network Areas,Average,4.5,High,0.1,Low,Average,Average,YES,0.8,55.0,12.0,NO,NO,NO,NO,NONE,1.0,-360.0,61331.57894736842,Poles Reserved Below Average,Unknown
MN09,Morningside Heights,Manhattan,53707,74288.59,19313,0.72,35,0.72,Medium High,0.74,Medium High,0.04,Medium Low,2.6,High,2.4,High,5,High,0.0,Low,1.0,0.85,5,42,36,True,1532.0,19313.0,20845.0,596.0,Medium High,56243.0,270.0,1774.0,72.0,1940.0,False,4.0,7.0,0.0,1.0,Medium High,52.0,77.0,40.0,0.0,10.0,36.0,7,10.0,44.0,1.54,High,0.36,0.64,3.0,0.0,0.9,Underground Network Areas,High,4.5,High,0.22,Low,High,Low,YES,0.67,50.0,2.0,NO,NO,NO,NO,NONE,1.0,2536.0,78115.27777777778,Poles Reserved Above Average,Unknown
MN11,Central Harlem South,Manhattan,50095,96725.47,20029,0.52,25,0.69,Medium Low,0.7,Medium Low,0.04,Medium Low,2.7,High,2.7,High,5,High,0.0,Low,1.0,1.0,2,69,74,True,702.0,20029.0,20731.0,829.0,High,47279.0,726.0,2477.0,276.0,0.0,False,6.0,18.0,2.0,2.0,Medium High,54.0,92.0,36.0,0.0,14.0,28.0,8,8.0,32.0,1.6,High,0.46,0.9,3.0,0.0,1.0,Underground Network Areas,High,4.5,High,0.21,Low,High,Low,YES,0.6,132.0,38.0,NO,NO,NO,NO,NONE,1.0,-2816.0,90921.15384615384,Poles Reserved Below Average,Unknown
MN12,Upper West Side,Manhattan,134019,108681.09,65005,1.23,56,0.81,High,0.8,High,0.05,Medium High,3.1,High,2.6,High,5,High,0.0,Low,1.0,0.87,4,143,136,True,2042.0,65005.0,67047.0,1197.0,High,133842.0,1046.0,3452.0,1171.0,3880.0,False,13.0,23.0,1.0,0.0,High,108.0,208.0,61.0,0.0,45.0,134.0,17,7.0,136.0,2.55,High,0.45,0.5,3.0,0.0,0.92,Underground Network Areas,High,4.5,High,0.72,Medium Low,High,Low,YES,0.07,90.0,25.0,NO,NO,NO,NO,NONE,1.0,-177.0,108814.63414634147,Poles Reserved Below Average,Unknown
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,Manhattan,77205,58128.36,42717,1.33,58,0.84,High,0.83,High,0.04,Medium Low,4.0,High,4.7,High,11,High,0.0,Low,1.0,1.0,5,156,126,True,5410.0,42717.0,48127.0,830.0,High,96102.0,890.0,1395.0,849.0,3106.0,False,10.0,21.0,6.0,0.0,High,40.0,485.0,32.0,3.0,27.0,90.0,17,32.0,111.0,2.47,High,0.74,0.16,2.0,0.0,0.92,Underground Network Areas,High,4.5,High,0.51,Medium Low,High,Low,YES,0.04,27.0,10.0,NO,NO,NO,NO,NONE,1.0,18897.0,72257.14285714286,Poles Reserved Above Average,High Growth
MN14,Lincoln Square,Manhattan,59691,105290.94,32823,0.57,31,0.84,High,0.83,High,0.05,Medium High,3.3,High,3.2,High,7,High,0.0,Low,1.0,0.9,6,52,38,True,2220.0,32823.0,35043.0,1130.0,High,68056.0,444.0,856.0,0.0,1259.0,False,6.0,11.0,1.0,0.0,High,47.0,125.0,32.0,0.0,10.0,37.0,3,10.0,55.0,2.1,High,0.51,0.35,3.0,0.0,0.93,Underground Network Areas,High,4.5,High,0.37,Medium Low,High,Low,NO,0.0,47.0,27.0,NO,NO,NO,NO,NONE,1.0,8365.0,119396.49122807018,Poles Reserved Above Average,High Growth
