Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
BK88,Borough Park,Brooklyn,"105,913","54,677.41","26,710",1.94,59,0.42,Low,0.47,Low,0.06,High,2.5,Medium High,1.5,Medium-High,4,High,0.29,High,1,1,5,8,0,false,"2,590","26,710","29,300",497,Medium High,"117,080","1,390","10,543",0,0,false,0,13,13,0,Medium Low,112,227,23,0,13,0,0,21,25,0.78,Medium High,0,N/A,0.48,2,0.27,0.92,Above and Underground Network,Average,4.5,High,2.57,High,Average,Average,YES,0.1,130,51,NO,NO,NO,NO,NONE
BK90,East Williamsburg,Brooklyn,"35,985","25,630.75","16,075",1.4,43,0.72,Medium High,0.74,Medium High,0.05,Medium High,2.6,High,1.3,Medium-Low,3,Medium High,0.18,Medium High,1,1,3,22,18,true,"2,198","16,075","18,273",425,Medium Low,"40,041",616,"2,287",75,"2,839",true,6,7,4,1,Medium High,100,69,28,1,8,18,2,3,14,0.4,Low,0,N/A,0.35,1,0.07,0.47,Above and Underground Network,Average,4,Average,1.56,High,Average,Average,YES,0.56,78,23,NO,NO,NO,NO,NONE
BK91,East Flatbush-Farragut,Brooklyn,"53,535","43,437.67","18,443",1.23,38,0.73,Medium High,0.71,Medium High,0.04,Medium Low,2.9,High,1.2,Medium-Low,3,Medium High,0.08,Medium Low,1,1,2,7,5,true,948,"18,443","19,391",510,Medium High,"52,416",576,"2,572",0,0,true,0,7,6,0,Medium Low,72,38,6,0,15,5,1,13,11,0.63,Medium High,0,N/A,0.08,1,0.48,0.7,Above and Underground Network,Average,4,Average,1.67,High,Average,Average,YES,0.06,64,40,NO,NO,NO,NO,NONE
BK93,Starrett City,Brooklyn,"12,388","29,776.61","6,485",0.42,12,0.56,Low,0.53,Low,0.06,High,1.2,Low,1.2,Low,2,Medium Low,0.71,High,1,0.13,1,0,0,false,185,"6,485","6,670",556,Medium High,"13,957",683,"1,331",0,293,false,1,4,0,0,None,35,0,8,0,2,0,1,0,1,0.08,Low,0,N/A,0.99,2,0.05,0.64,Above and Underground Network,High,4.5,High,0.56,Medium Low,High,Low,YES,0.32,159,0,NO,NO,NO,NO,NONE
BK95,Erasmus,Brooklyn,"29,149","55,959.26","10,137",0.52,17,0.64,Medium Low,0.6,Low,0.06,High,2.2,Medium High,1.4,Medium-High,3,Medium High,0.31,High,1,1,0,12,11,true,"1,290","10,137","11,427",672,High,"32,506",532,"2,070",45,0,false,0,10,3,0,Low,45,76,10,0,7,11,2,3,11,0.82,Medium High,0,N/A,0.89,1,0.5,1,Above and Underground Network,Average,4.5,High,0.97,Medium High,Average,Average,YES,0.43,245,8,NO,NO,NO,NO,NONE
BK96,Rugby-Remsen Village,Brooklyn,"55,951","47,693.66","20,724",1.17,45,0.66,Medium Low,0.69,Medium Low,0.05,Medium High,2.8,High,1.2,Medium-Low,3,Medium High,0.15,Medium High,1,1,1,1,0,false,873,"20,724","21,597",480,Medium High,"60,162","1,038","3,326",0,135,true,0,16,9,0,Medium Low,77,57,20,0,11,0,1,4,22,0.58,Medium Low,0,N/A,0.22,1,0.93,0.71,Above and Underground Network,Average,4.5,High,1.85,High,Average,Average,YES,0.08,130,4,NO,NO,NO,NO,NONE
BK99,park-cemetery-etc-Brooklyn,Brooklyn,93,,167,8.21,71,0.95,High,0.95,High,0.02,Low,1.7,Low,1.4,Medium-High,3,Medium High,0.72,UF,0.73,0.65,1,27,0,false,,,,,,,,,,,,,,,,,,,,,,,10,2,4,0.08,Low,,,,,,,,,,,,,,,,,,,,,,,
BX01,Claremont-Bathgate,Bronx,"34,815","58,999.81","10,996",0.59,27,0.55,Low,0.63,Low,0.07,High,1.6,Low,1.7,Medium-High,4,High,0.14,Medium High,1,0.51,2,4,2,true,806,"10,996","11,802",437,Medium High,"38,258","1,508","4,760",69,"4,445",true,8,26,4,0,Medium High,72,15,11,0,7,1,2,17,28,1.67,High,0.44,Medium High,1,1,1,1,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.93,107,38,NO,NO,NO,NO,NONE
BX03,Eastchester-Edenwald-Baychester,Bronx,"35,172","24,358.51","11,696",1.44,46,0.67,Medium Low,0.7,Medium Low,0.05,Medium High,1.9,Medium Low,1.4,Medium-High,3,Medium High,0.13,Medium High,1,0.86,2,9,0,false,606,"11,696","12,302",267,Medium Low,"38,267",608,"1,881",0,"4,960",true,7,8,13,0,Medium High,102,27,25,0,3,0,0,6,33,0.85,Medium High,0.11,Low,0.98,1,0.96,0.02,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.08,82,4,NO,NO,NO,NO,NONE
BX05,Bedford Park-Fordham North,Bronx,"55,995","104,083.79","19,329",0.54,23,0.57,Low,0.73,Medium High,0.09,High,1.7,Low,1.7,High,3,Medium High,0.1,Medium Low,1,0.74,3,23,12,true,"1,056","19,329","20,385",886,High,"60,601","1,396","5,394",0,0,false,0,4,4,0,Medium High,66,87,17,1,15,12,1,10,37,2.04,High,0,Zero,1,1,1,1,Above and Underground Network,High,4.5,High,0.21,Low,High,Low,YES,0.81,128,4,NO,NO,NO,NO,NONE
BX06,Belmont,Bronx,"29,372","60,402.07","9,214",0.49,21,0.54,Low,0.7,Medium Low,0.07,High,1.7,Low,1.6,Medium-High,4,High,0.17,Medium High,1,0.68,1,1,0,false,"1,059","9,214","10,273",489,Medium High,"31,859",998,"3,156",0,0,false,0,15,2,0,Medium Low,49,97,12,0,4,0,0,4,18,1.05,Medium High,0.14,Low,1,1,1,1,Above and Underground Network,Average,4.5,High,0.11,Low,Average,Average,YES,0.84,98,17,NO,NO,NO,NO,NONE
BX07,Bronxdale,Bronx,"37,595","69,023.23","14,143",0.54,19,0.61,Low,0.67,Low,0.07,High,1.9,Medium Low,1.5,Medium-High,3,Medium High,0.05,Medium Low,1,0.86,3,1,0,false,"1,028","14,143","15,171",798,High,"40,261",967,"3,234",68,"2,380",false,8,10,1,0,Medium Low,32,53,11,0,3,0,0,4,24,1.47,High,0.26,Medium Low,1,0,1,0.74,Above and Underground Network,High,4.5,High,0.16,Low,High,Low,YES,0.5,117,50,NO,NO,NO,NO,NONE
BX08,West Farms-Bronx River,Bronx,"35,752","66,076.68","11,884",0.54,25,0.58,Low,0.68,Medium Low,0.06,High,1.7,Low,1.4,Medium-High,2,Medium Low,0.26,High,1,0.7,2,1,0,false,589,"11,884","12,473",499,Medium High,"38,349","1,180","3,900",0,"1,472",false,7,11,1,0,Medium Low,56,31,9,0,0,0,1,6,20,1.04,Medium High,0.16,Low,1,0,1,0.93,Above and Underground Network,High,4.5,High,0.13,Low,High,Low,YES,0.61,78,34,YES,YES,NO,YES,"High underground interference from existing utilities.  
Area suitable for fixed wireless."
BX09,Soundview-Castle Hill-Clason Point-Harding Park,Bronx,"56,552","30,330.02","19,211",1.86,75,0.68,Medium Low,0.66,Low,0.05,Medium High,1.7,Low,1.4,Medium-High,3,Medium High,0.21,High,1,0.71,3,3,0,false,395,"19,211","19,606",261,Medium Low,"58,717","1,280","5,180",0,"6,459",true,11,23,14,0,Low,128,0,33,0,12,0,1,8,47,0.73,Medium High,0.08,Low,1,1,0.97,0.27,Above and Underground Network,Average,4,Average,0.21,Low,Average,Average,YES,0.28,44,21,YES,YES,NO,YES,"Average underground interference from existing utilities.  
Area suitable for fixed wireless."
BX10,Pelham Bay-Country Club-City Island,Bronx,"26,172","18,179.39","11,451",1.44,41,0.73,Medium High,0.69,Medium Low,0.04,Medium Low,1.9,Medium Low,1.1,Low,3,Medium High,0.15,Medium High,0.92,0.58,2,7,0,false,560,"11,451","12,011",293,Medium Low,"27,561",235,855,0,179,false,1,2,13,0,Medium High,56,55,6,0,2,0,0,4,20,0.59,Medium Low,0.1,Low,1,0,0.86,0.29,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.12,98,30,NO,NO,NO,NO,NONE
BX13,Co-op City,Bronx,"48,541","33,974.33","19,614",1.43,48,0.68,Medium Low,0.67,Low,0.04,Medium Low,1.4,Low,1.3,Medium-High,3,Medium High,0.43,High,0.98,0.43,2,1,0,false,433,"19,614","20,047",418,Medium Low,"44,704",389,"2,835",0,538,true,3,12,7,0,Low,108,22,35,0,4,0,0,6,18,0.5,Medium Low,0.16,Low,1,0,1,0.49,Above and Underground Network,Average,4,Average,0.21,Low,Average,Average,YES,0.29,75,21,NO,NO,NO,NO,NONE
BX14,East Concourse-Concourse Village,Bronx,"64,516","98,747.09","22,399",0.65,27,0.58,Low,0.63,Low,0.06,High,1.7,Low,1.8,High,4,High,0.08,Medium Low,1,0.12,2,6,2,true,742,"22,399","23,141",857,High,"72,125","1,954","6,821",464,"1,535",false,5,27,7,0,High,83,26,22,0,17,2,8,23,34,2.11,High,0.27,Medium Low,1,1,0.97,1,Above and Underground Network,High,4.5,High,0.24,Low,High,Low,YES,0.54,45,30,NO,NO,NO,NO,NONE
BX17,East Tremont,Bronx,"44,510","64,447.07","15,165",0.69,29,0.58,Low,0.66,Low,0.05,Medium High,1.8,Low,1.5,Medium-High,3,Medium High,0.12,Medium High,1,0.77,3,10,3,true,702,"15,165","15,867",547,Medium High,"56,362","1,660","5,961",106,959,false,6,18,10,0,Medium High,85,33,12,0,6,1,1,9,38,1.62,High,0.32,Medium Low,0.99,0,1,0.97,Above and Underground Network,Average,4.5,High,0.16,Low,Average,Average,YES,0.88,32,24,NO,NO,NO,NO,NONE
BX22,North Riverdale-Fieldston-Riverdale,Bronx,"27,145","15,429.75","10,894",1.76,39,0.76,Medium High,0.72,Medium High,0.06,High,1.8,Low,1.3,Medium-Low,3,Medium High,0.11,Medium High,0.99,0.79,3,2,0,false,507,"10,894","11,401",292,Medium Low,"29,987",131,565,0,0,false,0,3,7,0,Low,103,25,9,0,4,0,0,3,24,0.69,Medium High,0.14,Low,1,1,0.98,0.27,Above and Underground Network,Average,4,Average,0.12,Low,Average,Average,YES,0.39,90,42,NO,NO,NO,NO,NONE
BX26,Highbridge,Bronx,"39,144","66,311.76","13,442",0.59,30,0.56,Low,0.68,Medium Low,0.08,High,1.7,Low,1.8,High,3,Medium High,0.25,High,0.9,0.02,4,2,1,true,769,"13,442","14,211",474,Medium High,"46,856","1,187","4,471",0,915,false,4,8,0,0,Medium High,52,12,7,0,4,1,1,9,29,1.27,High,0.15,Low,1,1,0.97,0.89,Above and Underground Network,Average,4.5,High,0.15,Low,Average,Average,YES,0.9,97,48,NO,NO,NO,NO,NONE
BX27,Hunts Point,Bronx,"26,531","14,874.02","8,428",1.78,56,0.56,Low,0.66,Low,0.05,Medium High,1.7,Low,1.4,Medium-High,3,Medium High,0.29,High,0.92,0.64,2,3,0,false,664,"8,428","9,092",162,Low,"32,982",661,"3,197",0,525,true,1,11,2,0,Medium Low,121,26,17,0,11,0,3,17,36,0.95,Medium High,0.14,Low,1,1,0.75,0.93,Above and Underground Network,Low,3,Low,0.1,Low,Low,High,YES,0.34,69,14,YES,YES,YES,NO,"Average underground interference from existing utilities.  
Average to low make-ready requirements. Of the sample poles surveyed 37% required make-ready, and 12% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines, and some locations had power service drops and telecom service drops crossing the roadway without proper clearance."
BX28,Van Cortlandt Village,Bronx,"51,157","55,569.63","17,920",0.92,30,0.67,Medium Low,0.73,Medium High,0.09,High,1.7,Low,1.6,Medium-High,3,Medium High,0.2,Medium High,1,0.67,3,4,1,true,936,"17,920","18,856",629,Medium High,"55,804","1,052","4,234",0,344,false,2,19,2,0,Medium Low,63,38,27,0,7,1,0,14,30,1.47,High,0.26,Medium Low,1,0,1,0.87,Above and Underground Network,Average,4.5,High,0.2,Low,Average,Average,YES,0.8,111,38,NO,NO,NO,NO,NONE
BX29,Spuyten Duyvil-Kingsbridge,Bronx,"31,508","37,840.91","13,560",0.83,32,0.74,Medium High,0.72,Medium High,0.05,Medium High,1.7,Low,1.5,Medium-High,3,Medium High,0.2,Medium High,0.99,0.71,2,1,0,false,"1,107","13,560","14,667",458,Medium High,"33,584",275,987,0,"3,364",false,0,6,2,0,Low,65,111,13,0,5,0,0,1,26,0.84,Medium High,0.31,Medium Low,1,1,1,0.42,Above and Underground Network,Average,4.5,High,0.15,Low,Average,Average,YES,0.84,55,30,NO,NO,NO,NO,NONE
BX30,Kingsbridge Heights,Bronx,"31,294","66,282.21","11,023",0.47,17,0.61,Low,0.7,Medium Low,0.09,High,1.7,Low,1.8,High,3,Medium High,0.18,Medium High,0.98,0.69,0,11,10,true,863,"11,023","11,886",699,High,"38,844",512,"2,809",56,233,false,1,4,3,0,None,40,35,16,0,5,10,0,11,21,1.88,High,0.24,Medium Low,1,1,1,0.89,Above and Underground Network,Average,4.5,High,0.13,Low,Average,Average,YES,0.83,90,38,NO,NO,NO,NO,NONE
BX31,Allerton-Pelham Gardens,Bronx,"32,450","28,545.89","9,452",1.14,37,0.7,Medium Low,0.74,Medium High,0.07,High,1.9,Medium Low,1.3,Medium-Low,3,Medium High,0.06,Medium Low,1,0.92,1,0,0,false,675,"9,452","10,127",274,Medium Low,"30,869",378,"1,550",0,877,false,2,6,4,0,Medium Low,50,16,12,0,3,0,0,3,25,0.76,Medium High,0.08,Low,1,0,1,0,Above Ground (Utility Pole Presence),Average,4,Average,0.11,Low,Average,Average,NO,0.02,149,13,NO,NO,NO,NO,NONE
BX33,Longwood,Bronx,"28,961","75,232.82","9,105",0.38,15,0.65,Medium Low,0.69,Medium Low,0.05,Medium High,1.7,Low,1.7,High,4,High,0.18,Medium High,1,0.68,2,4,0,false,650,"9,105","9,755",650,High,"31,317",850,"3,129",123,666,true,2,15,1,0,Medium High,47,5,9,0,4,0,4,10,18,1.87,High,0.33,Medium High,1,1,1,1,Above and Underground Network,Average,4.5,High,0.11,Low,Average,Average,YES,0.99,40,25,NO,NO,NO,NO,NONE
BX34,Melrose South-Mott Haven North,Bronx,"43,244","69,804.19","14,476",0.62,24,0.59,Low,0.66,Low,0.05,Medium High,1.7,Low,1.9,High,5,High,0.05,Low,1,0.72,3,27,25,true,760,"14,476","15,236",635,Medium High,"52,246","1,460","5,163",63,"4,158",false,12,22,1,1,High,85,54,13,0,12,23,3,19,28,1.96,High,0.47,High,1,1,1,1,Above and Underground Network,Average,4.5,High,0.16,Low,Average,Average,YES,0.94,90,4,NO,NO,NO,NO,NONE
BX35,Morrisania-Melrose,Bronx,"39,939","65,919.7","13,976",0.61,24,0.61,Low,0.67,Low,0.06,High,1.8,Low,1.6,Medium-High,4,High,0.12,Medium High,1,0.79,3,6,3,true,664,"13,976","14,640",610,Medium High,"51,743","1,242","4,360",256,0,false,7,20,6,0,Medium Low,76,0,15,0,13,2,3,5,28,1.38,High,0.4,Medium High,1,1,1,1,Above and Underground Network,Average,4.5,High,0.15,Low,Average,Average,YES,1,37,26,NO,NO,NO,NO,NONE
BX36,University Heights-Morris Heights,Bronx,"55,575","72,895.38","19,202",0.76,37,0.57,Low,0.7,Medium Low,0.07,High,1.6,Low,1.8,High,4,High,0.31,High,0.93,0.56,4,8,6,true,725,"19,202","19,927",539,Medium High,"65,993","1,723","6,899",259,"1,348",false,5,14,3,0,Low,73,17,17,0,12,6,0,16,36,1.41,High,0.19,Medium Low,1,1,0.96,0.89,Above and Underground Network,High,4.5,High,0.21,Low,High,Low,YES,0.66,53,43,NO,NO,NO,NO,NONE
